beat,position,pitch,duration,program
0,10,66,30,0
3,7,65,25,0
5,7,59,7,0
6,4,46,27,0
6,4,58,20,0
8,7,51,37,0
8,7,63,37,0
11,10,56,46,0
11,10,68,45,0
15,7,56,1,0
15,7,68,1,0
15,7,80,35,0
18,7,68,68,0
18,7,80,68,0
18,10,56,68,0
24,4,37,18,0
24,10,44,17,0
25,4,49,11,0
25,4,65,12,0
25,10,61,8,0
26,4,39,16,0
26,10,46,10,0
27,4,58,13,0
27,4,63,12,0
28,4,41,15,0
28,10,48,11,0
29,4,56,12,0
29,4,60,13,0
30,4,42,17,0
30,10,49,9,0
31,4,58,12,0
31,4,61,12,0
31,10,54,7,0
32,4,37,15,0
32,10,44,9,0
33,4,61,13,0
33,4,65,14,0
33,10,56,6,0
34,4,46,23,0
34,10,53,10,0
35,4,61,12,0
35,10,58,7,0
36,4,44,38,0
36,10,51,30,0
37,4,56,36,0
37,10,60,30,0
38,4,63,24,0
39,4,56,6,0
39,10,58,6,0
40,4,37,20,0
40,4,61,15,0
40,10,44,17,0
41,4,56,1,0
41,4,61,18,0
41,10,56,3,0
41,10,61,3,0
42,4,39,21,0
42,4,61,10,0
43,4,58,2,0
43,4,63,4,0
43,4,63,11,0
43,10,58,7,0
43,10,65,3,0
44,4,41,15,0
44,4,63,8,0
44,10,53,7,0
45,4,56,13,0
45,4,60,13,0
45,4,61,14,0
45,10,53,6,0
46,1,42,15,0
46,10,49,8,0
47,4,58,12,0
47,4,61,3,0
47,4,61,12,0
47,10,54,6,0
47,10,63,3,0
48,4,49,22,0
48,4,65,13,0
48,10,56,18,0
49,4,65,16,0
49,10,61,10,0
49,10,63,3,0
50,4,46,22,0
50,4,61,6,0
50,10,53,9,0
50,10,65,4,0
51,4,61,14,0
51,4,65,14,0
51,4,68,3,0
51,10,58,6,0
51,10,68,18,0
52,4,44,40,0
52,10,51,29,0
53,4,56,4,0
53,10,60,30,0
54,4,56,15,0
55,4,63,11,0
55,4,65,2,0
55,10,56,6,0
55,10,68,2,0
56,4,37,17,0
56,4,68,10,0
56,10,44,12,0
57,4,61,13,0
57,4,65,13,0
57,10,56,10,0
57,10,65,2,0
58,4,41,22,0
58,4,65,7,0
58,10,48,18,0
59,4,60,13,0
59,4,63,5,0
59,10,53,6,0
59,10,61,5,0
60,4,42,37,0
60,4,63,4,0
60,10,49,21,0
60,10,65,3,0
61,4,58,14,0
61,4,58,22,0
61,4,61,21,0
61,10,54,19,0
62,10,49,6,0
63,4,58,5,0
63,4,58,12,0
63,4,61,13,0
63,10,54,6,0
63,10,61,3,0
64,4,39,38,0
64,4,63,13,0
64,10,46,33,0
65,4,63,16,0
65,4,66,17,0
65,10,58,29,0
65,10,65,2,0
66,4,51,14,0
66,4,63,6,0
66,10,61,3,0
66,10,63,7,0
67,4,66,13,0
67,10,58,5,0
67,10,63,6,0
68,4,44,37,0
68,4,63,25,0
68,10,51,22,0
69,4,56,9,0
69,10,60,18,0
70,4,68,23,0
70,10,51,5,0
71,4,56,6,0
71,4,63,11,0
71,10,58,6,0
71,10,60,6,0
72,4,37,38,0
72,4,61,15,0
72,10,44,31,0
73,4,49,14,0
73,10,56,31,0
73,10,61,3,0
74,4,61,5,0
74,4,61,14,0
74,4,65,26,0
74,10,49,17,0
74,10,61,3,0
75,4,60,13,0
75,4,63,4,0
75,10,61,8,0
75,10,65,3,0
76,4,42,41,0
76,4,63,8,0
76,10,49,35,0
77,4,54,15,0
77,4,61,14,0
77,10,58,32,0
77,10,61,5,0
78,4,65,26,0
78,10,54,6,0
79,4,61,1,0
79,4,61,3,0
79,4,66,13,0
79,10,63,3,0
79,10,63,7,0
80,4,37,41,0
80,4,65,13,0
80,10,44,35,0
81,4,49,14,0
81,10,56,19,0
81,10,63,3,0
82,4,61,6,0
82,4,65,26,0
82,10,49,11,0
82,10,65,4,0
83,4,61,14,0
83,4,68,2,0
83,10,56,7,0
84,1,68,18,0
84,4,44,35,0
84,10,51,29,0
85,4,56,14,0
85,10,60,14,0
86,4,68,21,0
86,10,56,3,0
87,1,63,11,0
87,4,65,2,0
87,7,60,7,0
87,10,68,2,0
88,4,37,40,0
88,4,68,10,0
88,10,44,33,0
89,1,49,5,0
89,4,59,21,0
89,4,61,21,0
89,4,65,20,0
89,10,49,8,0
89,10,65,2,0
90,4,56,11,0
90,4,65,7,0
90,10,49,16,0
91,4,59,1,0
91,4,61,13,0
91,4,63,5,0
91,4,65,14,0
91,10,59,6,0
91,10,61,5,0
92,4,42,39,0
92,4,63,4,0
92,10,49,32,0
92,10,65,3,0
93,4,54,14,0
93,4,58,14,0
93,10,58,19,0
94,4,66,24,0
94,10,54,5,0
95,4,58,5,0
95,4,61,12,0
95,10,58,9,0
95,10,61,3,0
96,4,39,15,0
96,4,63,13,0
96,10,46,10,0
97,4,51,10,0
97,4,63,11,0
97,10,58,7,0
97,10,65,2,0
98,4,44,15,0
98,4,63,6,0
98,10,51,8,0
98,10,61,3,0
99,4,63,11,0
99,10,60,5,0
99,10,63,6,0
100,4,37,18,0
100,4,61,25,0
100,10,44,39,0
101,4,49,15,0
101,10,37,6,0
101,10,56,16,0
102,4,37,6,0
102,4,61,10,0
102,4,65,10,0
102,10,37,6,0
102,10,49,9,0
103,4,37,6,0
103,4,56,12,0
